Date,Daily Max 8-hour CO Concentration,UNITS,DAILY_AQI_VALUE,DAILY_OBS_COUNT,PERCENT_COMPLETE
10/13/2013,0.3,ppm,3,24,100
10/14/2013,0.2,ppm,2,24,100
10/15/2013,0.2,ppm,2,24,100
10/16/2013,0.1,ppm,1,16,67
10/17/2013,0.3,ppm,3,24,100
10/18/2013,0.4,ppm,5,24,100
10/19/2013,0.2,ppm,2,24,100
10/20/2013,0.3,ppm,3,18,75
10/21/2013,0.3,ppm,3,24,100
10/22/2013,0.4,ppm,5,24,100
10/23/2013,0.3,ppm,3,24,100
10/24/2013,0.3,ppm,3,24,100
10/25/2013,0.2,ppm,2,24,100
10/26/2013,0.2,ppm,2,24,100
10/27/2013,0.3,ppm,3,24,100
10/28/2013,0.4,ppm,5,24,100
10/29/2013,0.2,ppm,2,24,100
10/30/2013,0.2,ppm,2,24,100
10/31/2013,0.2,ppm,2,24,100
11/1/2013,0.2,ppm,2,24,100
11/2/2013,0.3,ppm,3,24,100
11/3/2013,0.3,ppm,3,18,75
11/4/2013,0.3,ppm,3,24,100
11/5/2013,0.2,ppm,2,24,100
11/6/2013,0.2,ppm,2,24,100
11/7/2013,0.6,ppm,7,24,100
11/8/2013,0.7,ppm,8,24,100
11/9/2013,0.6,ppm,7,24,100
11/10/2013,0.5,ppm,6,24,100
11/11/2013,0.4,ppm,5,24,100
11/12/2013,0.3,ppm,3,24,100
11/13/2013,0.3,ppm,3,24,100
11/14/2013,0.5,ppm,6,24,100
11/15/2013,0.6,ppm,7,24,100
11/16/2013,0.3,ppm,3,24,100
11/17/2013,0.5,ppm,6,18,75
11/18/2013,0.6,ppm,7,24,100
11/19/2013,0.6,ppm,7,24,100
11/20/2013,0.5,ppm,6,24,100
11/21/2013,0.6,ppm,7,24,100
11/22/2013,0.3,ppm,3,24,100
11/23/2013,0.2,ppm,2,24,100
11/24/2013,0.2,ppm,2,24,100
11/25/2013,0.3,ppm,3,24,100
11/26/2013,0.5,ppm,6,24,100
11/27/2013,0.6,ppm,7,24,100
11/28/2013,0.7,ppm,8,24,100
11/29/2013,0.6,ppm,7,24,100
11/30/2013,0.7,ppm,8,24,100
12/1/2013,0.6,ppm,7,18,75
12/2/2013,0.5,ppm,6,24,100
12/3/2013,0.8,ppm,9,24,100
12/4/2013,0.3,ppm,3,24,100
