Date,Daily Max 8-hour Ozone Concentration,UNITS,DAILY_AQI_VALUE,DAILY_OBS_COUNT,PERCENT_COMPLETE
2/29/2012,0.046,ppm,43,17,100
3/1/2012,0.048,ppm,44,17,100
3/2/2012,0.047,ppm,44,17,100
3/3/2012,0.043,ppm,40,17,100
3/4/2012,0.04,ppm,37,17,100
3/5/2012,0.041,ppm,38,17,100
3/6/2012,0.038,ppm,35,17,100
3/7/2012,0.048,ppm,44,17,100
3/8/2012,0.039,ppm,36,17,100
3/9/2012,0.043,ppm,40,17,100
3/10/2012,0.04,ppm,37,17,100
3/11/2012,0.049,ppm,45,17,100
3/12/2012,0.054,ppm,50,17,100
3/13/2012,0.048,ppm,44,17,100
3/14/2012,0.047,ppm,44,17,100
3/15/2012,0.05,ppm,46,17,100
3/16/2012,0.051,ppm,47,17,100
3/17/2012,0.046,ppm,43,17,100
3/18/2012,0.043,ppm,40,17,100
3/19/2012,0.05,ppm,46,17,100
3/20/2012,0.049,ppm,45,17,100
3/21/2012,0.046,ppm,43,17,100
3/22/2012,0.047,ppm,44,17,100
3/23/2012,0.05,ppm,46,17,100
3/24/2012,0.054,ppm,50,17,100
3/25/2012,0.049,ppm,45,17,100
3/26/2012,0.045,ppm,42,17,100
3/27/2012,0.055,ppm,51,17,100
3/29/2012,0.055,ppm,51,17,100
3/31/2012,0.054,ppm,50,17,100
4/1/2012,0.051,ppm,47,17,100
4/2/2012,0.057,ppm,58,17,100
4/3/2012,0.043,ppm,40,17,100
4/4/2012,0.051,ppm,47,17,100
4/5/2012,0.051,ppm,47,17,100
4/6/2012,0.059,ppm,64,17,100
4/7/2012,0.063,ppm,77,17,100
4/8/2012,0.054,ppm,50,17,100
4/9/2012,0.047,ppm,44,17,100
4/10/2012,0.046,ppm,43,17,100
4/11/2012,0.048,ppm,44,17,100
4/12/2012,0.063,ppm,77,17,100
4/13/2012,0.07,ppm,100,17,100
4/14/2012,0.058,ppm,61,17,100
4/15/2012,0.053,ppm,49,17,100
4/16/2012,0.056,ppm,54,17,100
4/17/2012,0.059,ppm,64,17,100
4/18/2012,0.066,ppm,87,17,100
4/19/2012,0.053,ppm,49,17,100
4/20/2012,0.058,ppm,61,17,100
4/21/2012,0.064,ppm,80,17,100
4/22/2012,0.062,ppm,74,17,100
4/23/2012,0.064,ppm,80,17,100
4/24/2012,0.061,ppm,71,17,100
4/25/2012,0.057,ppm,58,17,100
4/26/2012,0.053,ppm,49,17,100
4/27/2012,0.053,ppm,49,17,100
4/28/2012,0.064,ppm,80,17,100
4/29/2012,0.06,ppm,67,17,100
4/30/2012,0.061,ppm,71,17,100
5/1/2012,0.054,ppm,50,17,100
5/2/2012,0.054,ppm,50,17,100
5/3/2012,0.057,ppm,58,17,100
5/4/2012,0.057,ppm,58,17,100
5/5/2012,0.063,ppm,77,17,100
5/6/2012,0.061,ppm,71,17,100
5/7/2012,0.048,ppm,44,17,100
5/8/2012,0.049,ppm,45,17,100
5/9/2012,0.059,ppm,64,17,100
5/10/2012,0.063,ppm,77,17,100
5/11/2012,0.051,ppm,47,17,100
5/12/2012,0.062,ppm,74,17,100
5/13/2012,0.06,ppm,67,17,100
5/14/2012,0.059,ppm,64,17,100
5/15/2012,0.064,ppm,80,17,100
5/16/2012,0.06,ppm,67,17,100
5/17/2012,0.072,ppm,105,17,100
5/18/2012,0.057,ppm,58,17,100
5/19/2012,0.068,ppm,93,17,100
5/20/2012,0.059,ppm,64,17,100
5/21/2012,0.062,ppm,74,17,100
5/22/2012,0.067,ppm,90,17,100
5/23/2012,0.063,ppm,77,17,100
5/24/2012,0.052,ppm,48,17,100
5/25/2012,0.054,ppm,50,17,100
5/26/2012,0.055,ppm,51,17,100
5/27/2012,0.068,ppm,93,17,100
5/28/2012,0.072,ppm,105,17,100
5/29/2012,0.07,ppm,100,17,100
5/30/2012,0.069,ppm,97,17,100
5/31/2012,0.068,ppm,93,17,100
6/1/2012,0.056,ppm,54,17,100
6/2/2012,0.071,ppm,101,17,100
6/3/2012,0.078,ppm,126,17,100
6/4/2012,0.051,ppm,47,17,100
6/6/2012,0.056,ppm,54,17,100
6/7/2012,0.059,ppm,64,17,100
6/8/2012,0.055,ppm,51,17,100
