Date,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,DAILY_OBS_COUNT,PERCENT_COMPLETE
4/9/2018,5.1,ug/m3 LC,21,1,100
4/10/2018,5.3,ug/m3 LC,22,1,100
4/11/2018,7.5,ug/m3 LC,31,1,100
4/12/2018,8.5,ug/m3 LC,35,1,100
4/13/2018,4.7,ug/m3 LC,20,1,100
4/14/2018,2.3,ug/m3 LC,10,1,100
4/15/2018,5.8,ug/m3 LC,24,1,100
4/16/2018,6.7,ug/m3 LC,28,1,100
4/17/2018,10.1,ug/m3 LC,42,1,100
4/18/2018,6.4,ug/m3 LC,27,1,100
4/19/2018,13.9,ug/m3 LC,55,1,100
4/20/2018,11.1,ug/m3 LC,46,1,100
4/21/2018,4.7,ug/m3 LC,20,1,100
4/22/2018,6.2,ug/m3 LC,26,1,100
4/23/2018,5.4,ug/m3 LC,23,1,100
4/24/2018,7.7,ug/m3 LC,32,1,100
4/25/2018,5.3,ug/m3 LC,22,1,100
4/27/2018,6.9,ug/m3 LC,29,1,100
4/28/2018,6.7,ug/m3 LC,28,1,100
4/29/2018,5,ug/m3 LC,21,1,100
4/30/2018,5.5,ug/m3 LC,23,1,100
5/1/2018,5.3,ug/m3 LC,22,1,100
5/2/2018,5.3,ug/m3 LC,22,1,100
5/3/2018,5.1,ug/m3 LC,21,1,100
5/4/2018,2,ug/m3 LC,8,1,100
5/5/2018,2.9,ug/m3 LC,12,1,100
5/6/2018,4.6,ug/m3 LC,19,1,100
5/7/2018,6,ug/m3 LC,25,1,100
5/8/2018,6,ug/m3 LC,25,1,100
5/9/2018,5.3,ug/m3 LC,22,1,100
5/10/2018,4.5,ug/m3 LC,19,1,100
5/11/2018,3.9,ug/m3 LC,16,1,100
5/12/2018,7.8,ug/m3 LC,33,1,100
5/13/2018,6,ug/m3 LC,25,1,100
5/14/2018,4.2,ug/m3 LC,18,1,100
5/15/2018,4.3,ug/m3 LC,18,1,100
5/16/2018,3.9,ug/m3 LC,16,1,100
5/17/2018,4.8,ug/m3 LC,20,1,100
5/18/2018,4.8,ug/m3 LC,20,1,100
5/19/2018,4.5,ug/m3 LC,19,1,100
5/20/2018,4.2,ug/m3 LC,18,1,100
5/21/2018,6.7,ug/m3 LC,28,1,100
5/22/2018,11.7,ug/m3 LC,49,1,100
5/23/2018,11.1,ug/m3 LC,46,1,100
5/24/2018,4.8,ug/m3 LC,20,1,100
5/25/2018,8.7,ug/m3 LC,36,1,100
5/26/2018,7.6,ug/m3 LC,32,1,100
5/27/2018,4.6,ug/m3 LC,19,1,100
5/28/2018,4.1,ug/m3 LC,17,1,100
5/29/2018,4.7,ug/m3 LC,20,1,100
5/31/2018,6.2,ug/m3 LC,26,1,100
6/1/2018,4.5,ug/m3 LC,19,1,100
6/2/2018,5.5,ug/m3 LC,23,1,100
6/3/2018,7.2,ug/m3 LC,30,1,100
6/4/2018,6.2,ug/m3 LC,26,1,100
6/5/2018,8.2,ug/m3 LC,34,1,100
6/6/2018,9.6,ug/m3 LC,40,1,100
6/7/2018,8.2,ug/m3 LC,34,1,100
6/8/2018,9.6,ug/m3 LC,40,1,100
6/9/2018,9.5,ug/m3 LC,40,1,100
6/10/2018,6.2,ug/m3 LC,26,1,100
6/11/2018,7.6,ug/m3 LC,32,1,100
6/12/2018,6.1,ug/m3 LC,25,1,100
