Date,Daily Max 1-hour NO2 Concentration,UNITS,DAILY_AQI_VALUE,DAILY_OBS_COUNT,PERCENT_COMPLETE
8/22/2020,12.7,ppb,11,24,100
8/23/2020,9.9,ppb,8,24,100
8/24/2020,9.3,ppb,8,18,75
8/25/2020,27.4,ppb,25,24,100
8/26/2020,11.3,ppb,10,24,100
8/27/2020,15.6,ppb,14,21,88
8/28/2020,19,ppb,18,24,100
8/29/2020,10.5,ppb,9,24,100
8/30/2020,15.1,ppb,14,24,100
9/1/2020,10,ppb,9,22,92
9/2/2020,18.4,ppb,17,24,100
9/3/2020,18,ppb,17,21,88
9/4/2020,22,ppb,21,24,100
9/5/2020,9.5,ppb,8,24,100
9/6/2020,13.5,ppb,12,24,100
9/7/2020,25.6,ppb,24,24,100
9/8/2020,11.2,ppb,10,18,75
9/9/2020,5.8,ppb,5,24,100
9/10/2020,6.4,ppb,6,24,100
9/11/2020,21,ppb,20,24,100
9/12/2020,23,ppb,22,24,100
9/13/2020,6.4,ppb,6,24,100
9/14/2020,11.1,ppb,10,18,75
9/15/2020,19.8,ppb,18,24,100
9/16/2020,19,ppb,18,24,100
9/17/2020,14.2,ppb,13,24,100
9/18/2020,18,ppb,17,24,100
9/19/2020,19.2,ppb,18,24,100
9/20/2020,16.3,ppb,15,24,100
9/21/2020,16.2,ppb,15,18,75
9/22/2020,15.7,ppb,14,24,100
9/23/2020,16.9,ppb,15,24,100
9/24/2020,14.6,ppb,13,24,100
9/25/2020,24.8,ppb,23,24,100
9/26/2020,20.2,ppb,19,24,100
9/27/2020,15,ppb,14,24,100
9/28/2020,6.5,ppb,6,19,79
9/29/2020,21.8,ppb,20,24,100
9/30/2020,21.7,ppb,20,24,100
10/1/2020,22.2,ppb,21,24,100
10/2/2020,26.3,ppb,25,24,100
10/3/2020,11.5,ppb,10,24,100
10/4/2020,18.8,ppb,17,24,100
10/5/2020,16.2,ppb,15,18,75
10/6/2020,20.2,ppb,19,21,88
10/7/2020,27.2,ppb,25,24,100
10/8/2020,27.3,ppb,25,24,100
10/9/2020,27.9,ppb,25,24,100
10/10/2020,16.5,ppb,15,24,100
10/11/2020,8.7,ppb,8,24,100
10/13/2020,25.1,ppb,24,24,100
10/14/2020,30,ppb,28,24,100
10/15/2020,22,ppb,21,24,100
10/16/2020,18.2,ppb,17,24,100
10/17/2020,23.5,ppb,22,24,100
