Date,Daily Max 1-hour NO2 Concentration,UNITS,DAILY_AQI_VALUE,DAILY_OBS_COUNT,PERCENT_COMPLETE
12/31/2017,37.3,ppb,35,19,79
1/1/2017,22,ppb,21,22,92
1/2/2017,12,ppb,11,24,100
1/3/2017,6,ppb,6,24,100
1/4/2017,9,ppb,8,24,100
1/5/2017,13,ppb,12,24,100
1/6/2017,17,ppb,16,24,100
1/7/2017,41,ppb,39,24,100
1/8/2017,44,ppb,42,22,92
1/9/2017,37,ppb,35,24,100
1/10/2017,17,ppb,16,24,100
1/11/2017,23,ppb,22,24,100
1/12/2017,44,ppb,42,24,100
1/13/2017,36,ppb,34,24,100
1/14/2017,14,ppb,13,24,100
1/15/2017,4,ppb,4,22,92
1/16/2017,30,ppb,28,24,100
1/17/2017,22,ppb,21,24,100
1/18/2017,23,ppb,22,24,100
1/19/2017,9,ppb,8,24,100
1/20/2017,17,ppb,16,24,100
1/21/2017,5,ppb,5,24,100
1/22/2017,7,ppb,7,22,92
1/23/2017,29,ppb,27,24,100
1/24/2017,5,ppb,5,24,100
1/25/2017,9,ppb,8,24,100
1/26/2017,24,ppb,23,24,100
1/27/2017,22,ppb,21,24,100
1/28/2017,13,ppb,12,24,100
1/29/2017,24,ppb,23,22,92
1/30/2017,34,ppb,32,24,100
1/31/2017,16,ppb,15,24,100
2/1/2017,17,ppb,16,24,100
2/2/2017,43,ppb,41,24,100
2/3/2017,45,ppb,42,24,100
2/4/2017,26,ppb,25,24,100
2/5/2017,16,ppb,15,22,92
2/6/2017,10,ppb,9,23,96
2/7/2017,12,ppb,11,24,100
2/8/2017,14,ppb,13,24,100
2/9/2017,39,ppb,37,24,100
2/10/2017,32,ppb,30,24,100
2/11/2017,15,ppb,14,24,100
2/12/2017,33,ppb,31,22,92
2/13/2017,13,ppb,12,24,100
2/14/2017,12,ppb,11,24,100
2/15/2017,28,ppb,26,21,88
2/16/2017,25,ppb,24,24,100
2/17/2017,9,ppb,8,24,100
2/18/2017,22,ppb,21,24,100
2/19/2017,9,ppb,8,22,92
