Incident Date,State,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,,,Month,Year
25-Aug-24,New Mexico,Albuquerque,1201 Legion Rd NE,0,1,0,0,0,,,8,2024
24-Aug-24,New Mexico,Shiprock,US-491 and US-64,0,0,0,0,0,,,8,2024
24-Aug-24,New Mexico,Albuquerque,1013 Florida St SE,1,0,0,1,1,,,8,2024
24-Aug-24,New Mexico,Roswell,1500 block of Adams Ave,1,0,0,0,0,,,8,2024
24-Aug-24,New Mexico,Albuquerque,1009 Bradbury Dr SE,0,0,0,0,0,,,8,2024
23-Aug-24,New Mexico,Albuquerque,Louisiana Blvd SE and Bell Ave SE,0,1,0,0,0,,,8,2024
22-Aug-24,New Mexico,Los Ojos (Rutheron),US-84 and US-64,1,0,0,0,0,,,8,2024
22-Aug-24,New Mexico,Albuquerque,Hermosa Dr NE and Roma Ave NE,1,0,0,0,0,,,8,2024
20-Aug-24,New Mexico,Albuquerque,141 98th SW,0,0,1,0,0,,,8,2024
20-Aug-24,New Mexico,Silver City,1300 block of Alabama St,0,1,0,0,1,,,8,2024
19-Aug-24,New Mexico,Farmington,Pinon Hills Blvd and W 30th St,0,0,0,0,1,,,8,2024
18-Aug-24,New Mexico,Cuartelez,NM-76 and Eh Ski Vel Ln,1,0,0,0,0,,,8,2024
18-Aug-24,New Mexico,Albuquerque,505 Gold Ave SW,1,1,0,0,1,,,8,2024
18-Aug-24,New Mexico,Albuquerque,923 Alvarado Dr SE,2,0,1,0,0,,,8,2024
17-Aug-24,New Mexico,Deming,1000 W Birch St,0,3,0,0,0,,,8,2024
17-Aug-24,New Mexico,Albuquerque,406 Arno St SE,0,0,1,0,0,,,8,2024
16-Aug-24,New Mexico,San Fidel,Rinconada Rd,0,0,1,0,0,,,8,2024
15-Aug-24,New Mexico,Gallup,2nd St and Logan Ave,0,1,0,0,0,,,8,2024
15-Aug-24,New Mexico,Roswell,E Brasher Rd and School Rd,1,0,0,0,1,,,8,2024
11-Aug-24,New Mexico,Albuquerque,Avalon Rd NW and 98th St NW,1,0,0,0,2,,,8,2024
11-Aug-24,New Mexico,Clovis,1000 N Dr Martin Luther King Jr Blvd,0,2,0,0,0,,,8,2024
11-Aug-24,New Mexico,Carlsbad,600 block of N 5th St,0,1,0,0,0,,,8,2024
10-Aug-24,New Mexico,Belen,E River Rd,0,0,0,0,0,,,8,2024
8-Aug-24,New Mexico,Raton,US-64 and NM-445,0,0,1,0,0,,,8,2024
8-Aug-24,New Mexico,Espanola,Paseo de Paulina,0,1,1,0,0,,,8,2024
8-Aug-24,New Mexico,Albuquerque,1700 block of Atrisco Dr SW,0,2,0,0,1,,,8,2024
6-Aug-24,New Mexico,Santa Fe,3533 Zafarano Dr,1,0,0,0,2,,,8,2024
6-Aug-24,New Mexico,Rio Rancho,Concord Hills Loop NE and Bismark Hills Way NE,0,0,0,0,0,,,8,2024
5-Aug-24,New Mexico,Albuquerque,540 Ortiz Dr SE,0,0,1,0,0,,,8,2024
4-Aug-24,New Mexico,Albuquerque,6900 block of Central Ave SE,0,1,0,0,0,,,8,2024
4-Aug-24,New Mexico,Albuquerque,124 Pennsylvania St NE,2,0,1,0,0,,,8,2024
1-Aug-24,New Mexico,Las Cruces,5700 Mesa Grande Dr,0,0,0,0,2,,,8,2024
31-Jul-24,New Mexico,Las Cruces,200 block of W Madrid Ave,0,0,1,0,0,,,7,2024
30-Jul-24,New Mexico,Albuquerque,Pennsylvania St NE and Chico Rd NE,1,0,0,0,0,,,7,2024
30-Jul-24,New Mexico,Laguna,182 NM-6,0,0,0,1,0,,,7,2024
28-Jul-24,New Mexico,Capitan,104 Aspen Dr,1,0,0,0,5,,,7,2024
27-Jul-24,New Mexico,Albuquerque,Central Ave SE and Alvarado Dr SE,0,1,0,0,0,,,7,2024
26-Jul-24,New Mexico,Albuquerque,Hannett Ave NE and Girard Blvd NE,1,0,0,0,0,,,7,2024
26-Jul-24,New Mexico,Albuquerque,6600 Menaul Blvd NE,0,1,0,0,1,,,7,2024
26-Jul-24,New Mexico,Gallup,1300 W I- 40 Frontage Rd,0,1,0,0,0,,,7,2024
25-Jul-24,New Mexico,Chamisal,96 Puertocito Rd,2,0,0,0,1,,,7,2024
25-Jul-24,New Mexico,Santa Fe,2861 Cerrillos Rd,0,1,0,0,1,,,7,2024
23-Jul-24,New Mexico,Santa Fe,1100 block of Hickox St,0,1,0,0,0,,,7,2024
23-Jul-24,New Mexico,Boles Acres,N/A,2,0,0,0,1,,,7,2024
23-Jul-24,New Mexico,Gallup,100 block of E Hill Ave,0,2,0,0,0,,,7,2024
22-Jul-24,New Mexico,Las Vegas,2401 N Grand Ave,0,2,0,0,1,,,7,2024
21-Jul-24,New Mexico,Portales,300 block of S Ave E,1,0,0,0,1,,,7,2024
21-Jul-24,New Mexico,Albuquerque,10605 Antler Tool Rd SW,1,0,0,0,0,,,7,2024
21-Jul-24,New Mexico,Santa Fe,St Michaels Dr,0,1,0,0,0,,,7,2024
16-Jul-24,New Mexico,Albuquerque,417 63rd St NW,1,0,0,0,0,,,7,2024
15-Jul-24,New Mexico,Ribera (Gonzales Ranch),N/A,1,0,0,0,1,,,7,2024
15-Jul-24,New Mexico,Albuquerque,Pan American Fwy NE and Paseo Del Norte,0,1,0,0,1,,,7,2024
15-Jul-24,New Mexico,Portales,N Ave B and W Kaywood St,1,0,0,0,0,,,7,2024
15-Jul-24,New Mexico,Albuquerque,7100 San Pedro Dr NE,0,1,0,0,0,,,7,2024
12-Jul-24,New Mexico,Albuquerque,Charleston St SE and Zuni Rd SE,0,1,0,0,0,,,7,2024
10-Jul-24,New Mexico,Ruidoso,109 Mustang Dr,1,0,0,0,1,,,7,2024
9-Jul-24,New Mexico,Albuquerque,10605 Connemara Ave SW,0,1,0,0,0,,,7,2024
7-Jul-24,New Mexico,Santa Fe,3299 Cerrillos Rd,0,1,0,0,1,,,7,2024
7-Jul-24,New Mexico,Las Cruces,2200 block of N Alameda Blvd,0,1,0,0,1,,,7,2024
5-Jul-24,New Mexico,Albuquerque,Central Ave SE and Indiana St SE,0,2,0,0,0,,,7,2024
5-Jul-24,New Mexico,Albuquerque,100 Deputy Dean Miera Dr SW,0,1,0,0,0,,,7,2024
30-Jun-24,New Mexico,Albuquerque,6031 Iliff Rd NW,1,0,0,0,1,,,6,2024
30-Jun-24,New Mexico,Albuquerque,2nd St SW and Gold Ave SW,1,0,0,0,1,,,6,2024
29-Jun-24,New Mexico,Albuquerque,Central Ave SE and Elizabeth St NE,0,1,0,0,0,,,6,2024
27-Jun-24,New Mexico,Santa Fe,2721 Cerrillos Rd,0,1,0,0,0,,,6,2024
25-Jun-24,New Mexico,Bent,US-70,0,0,1,0,0,,,6,2024
25-Jun-24,New Mexico,Albuquerque,400 block of Indiana SE,0,1,0,0,0,,,6,2024
23-Jun-24,New Mexico,Ranchos De Taos,W Romero Rd,1,0,0,0,1,,,6,2024
23-Jun-24,New Mexico,Las Cruces,Ave Del Sol and Cortez Dr,2,1,0,0,0,,,6,2024
23-Jun-24,New Mexico,Las Cruces,1400 block of S Telshor Blvd,0,1,0,0,0,,,6,2024
23-Jun-24,New Mexico,Las Cruces,518 N Telshor Blvd,0,0,0,0,3,,,6,2024
21-Jun-24,New Mexico,Roswell,2001 S Sunset Ave,1,0,0,0,1,,,6,2024
21-Jun-24,New Mexico,Las Vegas,522 Hermosa Cir,1,0,0,0,1,,,6,2024
20-Jun-24,New Mexico,Las Vegas,2500 block of Dahlia St,1,0,0,0,1,,,6,2024
20-Jun-24,New Mexico,Albuquerque,I-40 and 98th St SW,0,0,1,0,0,,,6,2024
19-Jun-24,New Mexico,Las Cruces,Shalem Colony Trl,0,0,1,0,0,,,6,2024
18-Jun-24,New Mexico,Albuquerque,3013 Aliso Dr NE,1,0,0,0,0,,,6,2024
